start_time,end_time,duration,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,precipitation,temperature,wind_speed,weather,sunshine,season,is_holiday,is_weekend
2023-05-02 16:00:00,2023-05-02 17:00:00,523,2336,Møllestranden,60.380044402639385,5.350823586678217,214,Nygårdsporten,60.3839343833222,5.333450454511649,0.0,10.2,5.7,3,46,0,False,False
2023-05-02 16:00:00,2023-05-02 16:00:00,308,1046,Ole Vigs gate,60.385922875207626,5.321431717819451,5,Moxy Hotellet,60.37878279018753,5.3333274872102265,0.0,10.2,5.7,3,46,0,False,False
2023-05-02 17:00:00,2023-05-02 17:00:00,377,83,Bergen jernbanestasjon,60.390414110522414,5.332650453823391,216,Johanneskirken,60.38853002489311,5.318665231464365,0.0,10.3,6.0,3,26,0,False,False
2023-05-03 05:00:00,2023-05-03 05:00:00,335,1045,Damsgårdsveien 2,60.37802198798124,5.329383048102329,639,Frydenbø Marina,60.384467341026586,5.310007717995973,0.0,3.5,1.4,2,0,0,False,False
2023-05-03 06:00:00,2023-05-03 06:00:00,383,49,Studentsenteret UiB,60.38719801795013,5.322980046239536,301,Lars Hilles,60.3881178890904,5.331487235597251,0.0,3.9,1.1,2,43,0,False,False
2023-05-03 06:00:00,2023-05-03 06:00:00,818,788,Danmarksplass,60.376082994809856,5.339851409058042,217,Nykirkekaien,60.39705738914522,5.314548482139799,0.0,3.9,1.1,2,43,0,False,False
2023-05-03 06:00:00,2023-05-03 07:00:00,739,34,Cornerteateret,60.38246949877819,5.32609348920866,1043,Comfort Hotel Bergen,60.39622446162616,5.315384703788823,0.0,3.9,1.1,2,43,0,False,False
2023-05-03 06:00:00,2023-05-03 06:00:00,487,1894,Kong Oscars gate,60.393323250707,5.330654155344547,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,0.0,3.9,1.1,2,43,0,False,False
2023-05-03 06:00:00,2023-05-03 06:00:00,602,641,Krohnviken,60.37810721367397,5.331020769519228,33,Høgskulen på Vestlandet,60.369179844976586,5.349443793165847,0.0,3.9,1.1,2,43,0,False,False
2023-05-03 07:00:00,2023-05-03 07:00:00,953,3397,Kristianborg bybanestopp,60.35804332673254,5.341291440021422,157,Florida Bybanestopp,60.382254745562825,5.3323324699108525,0.0,4.7,1.6,2,60,0,False,False
